Method Time Sample
Cadastra-Filmes 24311 189000
Cadastra-Filmes 25232 190000
Cadastra-Filmes 24563 191000
Cadastra-Filmes 24483 192000
Cadastra-Filmes 25014 193000
Cadastra-Filmes 24313 194000
Cadastra-Filmes 25268 195000
Cadastra-Filmes 25370 196000
Cadastra-Filmes 25348 197000
Cadastra-Filmes 25494 198000
Cadastra-Filmes 26490 199000
Cadastra-Filmes 25459 200000
Cadastra-Filmes 25330 201000
Cadastra-Filmes 27663 202000
Cadastra-Filmes 33544 203000
Cadastra-Filmes 35283 204000
Cadastra-Filmes 35406 205000
Cadastra-Filmes 28975 206000
Cadastra-Filmes 31001 207000
Cadastra-Filmes 27330 208000
Cadastra-Filmes 26459 209000
Cadastra-Filmes 27368 210000
Cadastra-Filmes 27430 211000
Cadastra-Filmes 27448 212000
Cadastra-Filmes 27554 213000
Cadastra-Filmes 31387 214000
Cadastra-Filmes 30270 215000
Cadastra-Filmes 30505 216000
Cadastra-Filmes 32892 217000
Cadastra-Filmes 33312 218000
Cadastra-Filmes 33826 219000
Cadastra-Filmes 33146 220000
Cadastra-Filmes 34201 221000
Cadastra-Filmes 30885 222000
Cadastra-Filmes 29508 223000
Cadastra-Filmes 28386 224000
Cadastra-Filmes 29128 225000
Cadastra-Filmes 29735 226000
Cadastra-Filmes 29971 227000
Cadastra-Filmes 29876 228000
Cadastra-Filmes 35393 229000
Cadastra-Filmes 32280 230000
Cadastra-Filmes 34532 231000
Cadastra-Filmes 37994 232000
Cadastra-Filmes 36116 233000
Cadastra-Filmes 30831 234000
Cadastra-Filmes 31201 235000
Cadastra-Filmes 34810 236000
Cadastra-Filmes 38298 237000
Cadastra-Filmes 36578 238000
Cadastra-Filmes 34496 239000
Cadastra-Filmes 36625 240000
Cadastra-Filmes 31707 241000
Cadastra-Filmes 31520 242000
Cadastra-Filmes 33513 243000
Cadastra-Filmes 33675 244000
Cadastra-Filmes 33367 245000
Cadastra-Filmes 32364 246000
Cadastra-Filmes 36713 247000
Cadastra-Filmes 35306 248000
Cadastra-Filmes 34546 249000
Cadastra-Filmes 34126 250000
Cadastra-Filmes 33604 251000
Cadastra-Filmes 38522 252000
Cadastra-Filmes 38382 253000
Cadastra-Filmes 38573 254000
Cadastra-Filmes 33629 255000
Cadastra-Filmes 33137 256000
Cadastra-Filmes 33568 257000
Cadastra-Filmes 34327 258000
Cadastra-Filmes 34998 259000
Cadastra-Filmes 34159 260000
Cadastra-Filmes 33758 261000
Cadastra-Filmes 33641 262000
Cadastra-Filmes 34115 263000
Cadastra-Filmes 34414 264000
Cadastra-Filmes 34245 265000
Cadastra-Filmes 34682 266000
Cadastra-Filmes 34637 267000
Cadastra-Filmes 35007 268000
Cadastra-Filmes 34941 269000
Cadastra-Filmes 34574 270000
Cadastra-Filmes 34882 271000
Cadastra-Filmes 36595 272000
Cadastra-Filmes 37229 273000
Cadastra-Filmes 35480 274000
Cadastra-Filmes 36869 275000
Cadastra-Filmes 37736 276000
Cadastra-Filmes 38256 277000
Cadastra-Filmes 40752 278000
Cadastra-Filmes 40028 279000
Cadastra-Filmes 39598 280000
Cadastra-Filmes 39821 281000
Cadastra-Filmes 41250 282000
Cadastra-Filmes 46561 283000
Cadastra-Filmes 46947 284000
Cadastra-Filmes 42626 285000
Cadastra-Filmes 41194 286000
Cadastra-Filmes 38858 287000
Cadastra-Filmes 36977 288000
Cadastra-Filmes 37453 289000
Cadastra-Filmes 40482 290000
Cadastra-Filmes 37668 291000
Cadastra-Filmes 37656 292000
Cadastra-Filmes 37526 293000
Cadastra-Filmes 38546 294000
Cadastra-Filmes 37681 295000
Cadastra-Filmes 37796 296000
Cadastra-Filmes 38804 297000
Cadastra-Filmes 40885 298000
Cadastra-Filmes 38867 299000
Cadastra-Filmes 38844 300000
Cadastra-Filmes 38965 301000
Cadastra-Filmes 38881 302000
Cadastra-Filmes 39698 303000
Cadastra-Filmes 42048 304000
Cadastra-Filmes 42272 305000
Cadastra-Filmes 39507 306000
Cadastra-Filmes 42670 307000
Cadastra-Filmes 39675 308000
Cadastra-Filmes 40145 309000
Cadastra-Filmes 42490 310000
Cadastra-Filmes 42224 311000
Cadastra-Filmes 40784 312000
Cadastra-Filmes 40636 313000
Cadastra-Filmes 41254 314000
Cadastra-Filmes 41029 315000
Cadastra-Filmes 40777 316000
Cadastra-Filmes 40853 317000
Cadastra-Filmes 41346 318000
Cadastra-Filmes 44815 319000
Cadastra-Filmes 42804 320000
Cadastra-Filmes 42098 321000
Cadastra-Filmes 41593 322000
Cadastra-Filmes 41598 323000
Cadastra-Filmes 42048 324000
Cadastra-Filmes 41803 325000
Cadastra-Filmes 42037 326000
Cadastra-Filmes 41692 327000
Cadastra-Filmes 42690 328000
Cadastra-Filmes 42642 329000
Cadastra-Filmes 42717 330000
Cadastra-Filmes 42605 331000
Cadastra-Filmes 42612 332000
Cadastra-Filmes 42653 333000
Cadastra-Filmes 42669 334000
Cadastra-Filmes 43017 335000
Cadastra-Filmes 42772 336000
Cadastra-Filmes 43569 337000
Cadastra-Filmes 43689 338000
Cadastra-Filmes 43663 339000
Cadastra-Filmes 44133 340000
Cadastra-Filmes 43756 341000
Cadastra-Filmes 43827 342000
Cadastra-Filmes 43786 343000
Cadastra-Filmes 44787 344000
Cadastra-Filmes 44960 345000
Cadastra-Filmes 44949 346000
Cadastra-Filmes 44954 347000
Cadastra-Filmes 44810 348000
Cadastra-Filmes 44699 349000
Cadastra-Filmes 45699 350000
Cadastra-Filmes 45833 351000
Cadastra-Filmes 45604 352000
Cadastra-Filmes 45573 353000
Cadastra-Filmes 45935 354000
Cadastra-Filmes 45615 355000
Cadastra-Filmes 45724 356000
Cadastra-Filmes 45762 357000
Cadastra-Filmes 46131 358000
Cadastra-Filmes 46172 359000
Cadastra-Filmes 46558 360000
Cadastra-Filmes 46565 361000
Cadastra-Filmes 46582 362000
Cadastra-Filmes 46534 363000
Cadastra-Filmes 46838 364000
Cadastra-Filmes 46911 365000
Cadastra-Filmes 47345 366000
Cadastra-Filmes 47221 367000
Cadastra-Filmes 48086 368000
Cadastra-Filmes 47902 369000
Cadastra-Filmes 47685 370000
Cadastra-Filmes 47690 371000
Cadastra-Filmes 50694 372000
Cadastra-Filmes 48064 373000
Cadastra-Filmes 49029 374000
Cadastra-Filmes 49484 375000
Cadastra-Filmes 51543 376000
Cadastra-Filmes 48713 377000
Cadastra-Filmes 49254 378000
Cadastra-Filmes 48807 379000
Cadastra-Filmes 48994 380000
Cadastra-Filmes 48838 381000
Cadastra-Filmes 48654 382000
Cadastra-Filmes 48893 383000
Cadastra-Filmes 49877 384000
Cadastra-Filmes 49579 385000
Cadastra-Filmes 50038 386000
Cadastra-Filmes 49850 387000
Cadastra-Filmes 49583 388000
Cadastra-Filmes 50158 389000
Cadastra-Filmes 50033 390000
Cadastra-Filmes 51287 391000
Cadastra-Filmes 50702 392000
Cadastra-Filmes 50784 393000
Cadastra-Filmes 50881 394000
Cadastra-Filmes 50818 395000
Cadastra-Filmes 51077 396000
Cadastra-Filmes 50895 397000
Cadastra-Filmes 51344 398000
Cadastra-Filmes 51750 399000
Cadastra-Filmes 51734 400000
Cadastra-Filmes 51816 401000
Cadastra-Filmes 51980 402000
Cadastra-Filmes 51804 403000
Cadastra-Filmes 51784 404000
Cadastra-Filmes 51970 405000
Cadastra-Filmes 52070 406000
Cadastra-Filmes 51704 407000
Cadastra-Filmes 52600 408000
Cadastra-Filmes 53260 409000
Cadastra-Filmes 59396 410000
Cadastra-Filmes 57454 411000
