Run,N,Structure,MemoryMB,TimeMS
0,1000000,HashMap,1.046128,
0,1000000,Classe,0.522664,
0,1000000,HashMap,,546.958
0,1000000,Classe,,181.1569
1,1000000,HashMap,,370.0751
1,1000000,Classe,,183.6044
2,1000000,HashMap,,372.8196
2,1000000,Classe,,34.8808
3,1000000,HashMap,,529.9037
3,1000000,Classe,,81.4029
4,1000000,HashMap,,1040.0049
4,1000000,Classe,,783.2045
5,1000000,HashMap,,7073.8816
5,1000000,Classe,,225.1666
